Year,"Disponibel inkomst, netto, reala varden, procentuell utveckling, arstakt","Sparkvot, netto, exkl. tjanste- o premiepensioner","Laneskulder i procent av disponibel inkomst, netto, helar/fyra kvartal","Ranteutgifter, brutto, i procent av disponibel inkomst, netto"
2011K1,4.4,1.1,159.3,5.8
2011K2,4.9,13.1,158.9,5.2
2011K3,3.1,0.1,159.0,6.6
2011K4,2.0,-4.3,159.6,6.9
2012K1,3.0,2.7,159.7,6.8
2012K2,4.5,16.9,159.2,5.3
2012K3,3.7,3.1,159.3,6.3
2012K4,5.3,-0.3,158.6,6.0
2013K1,4.7,6.2,158.3,5.7
2013K2,0.2,15.6,160.2,4.7
2013K3,1.9,2.8,160.9,5.5
2013K4,1.3,-1.0,161.7,5.4
2014K1,1.1,4.6,162.6,5.5
2014K2,3.9,16.0,162.9,4.4
2014K3,1.3,1.8,163.9,5.1
2014K4,2.0,-2.0,165.5,4.9
2015K1,2.1,2.8,166.5,4.7
2015K2,4.4,17.0,167.3,3.5
2015K3,2.2,-0.2,168.9,4.2
2015K4,2.0,-4.4,170.9,4.1
2016K1,6.1,5.5,172.1,3.9
2016K2,3.1,17.6,173.9,3.2
2016K3,2.2,-0.1,175.2,4.0
2016K4,3.0,-2.8,176.2,3.9
2017K1,-1.6,1.2,178.8,4.0
2017K2,3.5,18.4,179.4,3.1
2017K3,2.1,-0.5,180.8,3.9
2017K4,3.7,-1.9,181.2,3.9
2018K1,7.6,6.5,179.3,3.7
2018K2,-4.4,12.1,183.0,3.3
2018K3,2.2,0.4,182.9,3.8
2018K4,3.8,0.7,182.6,3.7
2019K1,3.3,9.3,182.1,3.7
2019K2,4.0,14.8,181.5,3.2
2019K3,3.3,1.8,181.2,3.9
2019K4,2.8,1.5,181.5,3.8
2020K1,2.0,11.5,181.9,3.8
